Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..,..,..,..,..,..,..,..,..,..,7.599999905,2.099999905,0.8000000119,1.100000024,13.30000019,10.5,12.89999962,13.89999962,12.89999962,19.10000038,21.39999962,19.39999962,18.29999924,11.39999962,19.79999924,19.89999962,7.5,8.100000382,8.800000191,11.5,9.399999619,8.399999619,8.399999619,6.699999809,12.30000019,12.89999962,13.5,35.40000153,15,7.400000095,7.813,..,..,..,..,..,..,..,..,..,108.0194871,109.4211175,116.6607234,84.621216,34.283472,33.10203859,29.0108809,21.46255651,29.5593488,20.01420595,19.87890239,12.02012473,..
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,..,..,..,..,..,..,..,..,..,..,84700,97400,104900,96600,96100,99000,101700,111200,100400,93000,76200,129100,181000,200200,220400,225500,184400,217900,201000,220000,241400,212300,212300,197000,238400,250400,255600,89600,52700,140200,149705,..,..,..,..,..,..,..,..,..,1999127,2279341.18,1737962.126,2044188,2209428,1929907,1917924,1647425,1125367,1066747.356,449041.025,293212.994,..
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,..,..,..,..,..,..,..,..,..,..,4000,4700,4800,3700,4300,4700,4500,4900,4800,4900,4200,4200,5400,5700,6200,6400,5800,6000,5900,5200,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,..,..,..,..,..,..,..,..,..,21677,25021,17775,21696,25920,23532,22770,24207,10454,7334,4635.714,2865.737,..
Afghanistan,AFG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Fixed broadband subscriptions,IT.NET.BBND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200,220,500,500,500,1000,1500,..,1500,1500,1500,7067,8801,9182,15999,19683,26570,26570,..
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000849129,0.000901226,0.001965181,0.001930256,0.00189199,0.003651593,0.005321098,..,0.004923444,0.004755683,0.004584883,0.020937089,0.025409826,0.025760717,0.04360971,0.052113481,0.06817675,0.066260241,..
Afghanistan,AFG,Fixed telephone subscriptions,IT.MLT.MAIN,7700,7700,7700,7700,7700,9300,9300,9300,9300,9300,16000,16000,16000,16000,16000,21500,22200,22200,25300,25300,25800,31700,28000,29000,30000,31000,32000,33000,34000,35000,36200,37000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,33050,36700,..,..,..,..,..,5130,16620,13509,90017,95769,101931,110000,114192,118769,127794,134636,145787,145787,..
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.089301599,0.0855843,0.0855843,0.0855843,0.0855843,0.097227988,0.093408,0.093408,0.093408,0.093408,0.148796072,0.143194,0.143194,0.143194,0.143194,0.176847227,0.178668178,0.1749781,0.195534971,0.194819661,0.206620969,0.284172531,0.27754957,0.291414848,0.292863331,0.294894838,0.306265757,0.319682007,0.327443839,0.32792513,0.33848238,0.344340856,0.240515539,0.207087239,0.187634814,0.176625589,0.169525262,0.163023751,0.156814973,0.150548878,0.148390865,0.147293118,0.157379034,0.162065751,..,..,..,..,..,0.018732673,0.058957763,0.046185946,0.295462433,0.303631354,0.31156115,0.325892139,0.32968968,0.333214396,0.348337974,0.356467539,0.374079184,0.363563481,..
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..
Afghanistan,AFG,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..
Afghanistan,AFG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0028986851,0.0097859993,..,..,..
Afghanistan,AFG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4866973095,0.3376266206,0.3743117136,0.3322431753,0.1504150832,0.0033180883,0.0859540452,0.1645240195,0.262056153,0.3878055408,0.1934332719,2.068395343,..,..,..
Afghanistan,AFG,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.480138968,7.005128667,8.967409865,8.065252547,6.727428333,15.64988437,8.613989755,9.786545074,14.93428558,15.66422612,9.977593685,8.244545757,7.82851624,..,..
Afghanistan,AFG,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,109445927.8,119214754.6,191027169.3,209492976.1,124681457.4,137313518.6,115737501.7,82152250.34,77926450.18,57790520.19,73258421.6,53748200.21,54766062.19,..,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..
Afghanistan,AFG,"Industrial design applications, nonresident, by count",IP.IDS.NRCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Industrial design applications, resident, by count",IP.IDS.RSCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,10215840,13797879,15340115,16807156,18407168,19709038,21602982,23929713,21976355,22580071,22678024,22678024,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119046168,0.883192104,2.547386592,4.915778177,9.905952707,18.02123984,29.88931593,38.34172829,36.23965543,47.17359546,50.35079702,53.28634042,56.26314295,58.39109599,62.37109623,67.13641492,59.90264778,59.78387904,58.1902139,56.55443457,..
Afghanistan,AFG,"Patent applications, nonresidents",IP.PAT.NRES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Patent applications, residents",IP.PAT.RESD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,0.58,..,0.65,..,0.96,..,1,..,1.21,..,1.19,..,0.7,..,..,..,..,..,..
Afghanistan,AFG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,0.53,..,0.68,..,1.05,..,1.15,..,1.28,..,1.07,..,0.7,..,..,..,..,..,..
Afghanistan,AFG,Rail lines (total route-km),IS.RRS.TOTL.KM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
