Randint,Question,Answer,Type,Section,Sub Section
1,"If Co carries out 95%+ of their transactions digitally & turnover is less than â‚¹10Cr., then they're exempted from Audit Requirements. This technically is called",Audit Exemption for Digital India,BaLiEconomix,Budget 21,
2,What logic was given in Budget to increase sovereign leveraging?,Positive IRGD Interest Rate Growth Rate Differential,BaLiEconomix,Budget 21,
3,Govt has reduced number of Central Sector Schemes from 130 to ____ under CSS Rationalization Initiative,65,BaLiEconomix,Budget 22,
4,"Owing to the fact that Tax Authorities engaged in Tax Terrorism/Litigation, ______ is poor",Budget Marksmanship (tendency of remaining close to targets set),BaLiEconomix,Budget 21,
5,"Turnaround Time, that is No. of days/hrs taken for a ship to enter & exit a port after loading/unloading cargo in India has improved from 4 days in 2014 to _____ days in 2020",2.62 days,BaLiEconomix,Budget 20,
6,Highest Spending on ______ in History of ðŸ‡®ðŸ‡³,Education,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2324 > HRD,
7,Millets to be referred as,Shree à¤…à¤¨à¥à¤¨,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2324 > Sectors,
8,1st Time since ______ has a Govt â¬‡ï¸ Tax Slabs for the Super Rich (37.5% Surcharge ðŸ‘‰ðŸ½ 25%),1991 Reforms,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2324 > Budget,
9,Defence Expenditure as a % of GDPðŸ‡®ðŸ‡³ has been (rising/declining),Declining,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2324 > Budget,
10,What are the four castes mentioned for Viksit Bharat?,"Poor, Youth, Women, Farmer",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > General,
11,Who has presented most Budgets in post independentðŸ‡®ðŸ‡³,Morarji Desai (8),BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > General,
12,Budget 2024-25 is the _____th consecutive budget presented by Nirmala Sitaraman,6th,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > General,
13,Since when did Amrit Kaal has begun,2023,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > General,
14,When will Amrut Kaal end,2047,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > General,
15,Corporate Tax on Foreign Cos reduced from 40% to,35%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > Budget,
16,Unique Land Parcel Identification Number for all lands is referred to as,Bhu Aadhar,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > Infra,
17,"In which city, an industrial node is to be established on Amritsar Kolkata Corridor",Gaya,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2425 > Infra,
18,"EPFO's 'Regulatory Cholesterol' preventing formal job creation, as Private Sector Employers prefer hiring informally",to avoid Harassment by EPFO Officials,BaLiEconomix,ES 2016,
19,"Usage of alternative to DBT was suggested as DBT Cash can be used for purchasing Vimal. Under this alternative, Beneficiary goes to grain/fertiliser shop & uses his Adhar + Fingerprint to purchase Subsidized Goods. What is that alternative?",BAPU Biometrically Authenticated Physical Uptake,BaLiEconomix,ES 2016,
20,There's an ______ relation bw Size of Landholding & Indebtness of Farmers,inverse,BaLiEconomix,ES 2016,
21,"_______ is the only answer to reap ðŸ‡®ðŸ‡³'s Demographic Dividend, due to void that has been created by ðŸ‡®ðŸ‡³' s direct shift from Agri to Service Economy. ",Industrialization,BaLiEconomix,ES 2016,
22,"ðŸ‡ºðŸ‡¸ didn't give voting rights to Blacks, â™€ï¸ right after independence & perused pro-industrialist policies ðŸ‘‰ðŸ½Growth
ðŸ‡¨ðŸ‡³ðŸ‡µðŸ‡±ðŸ‡°ðŸ‡· didn't try to appease all Linguistic, Religious, Caste Groups and adopted pro-industrialist policiesðŸ‘‰ðŸ½Growth
ðŸ“ðŸ‡®ðŸ‡³ : Voting Rights to all right after independence ðŸ‘‰ðŸ½ No Growth						
		This observation in ES2016 is noted as? ",Trade Off between Growth and Social Justice,BaLiEconomix,ES 2016,
23,Which two errors are present subsidy delivery Mechanism?,"Inclusion Error	 (Non Poor getting ~40% of Subsidies)
Exclusion Error (Real Poor are not getting subsidies due to corruption)",BaLiEconomix,ES 2017,
